distancia_m,amostra,rssi_dbm
1.0,1,-39
1.0,2,-42
1.0,3,-41
1.0,4,-39
1.0,5,-40
1.0,6,-41
1.0,7,-39
1.0,8,-39
1.0,9,-41
1.0,10,-41
1.0,11,-41
1.0,12,-39
1.0,13,-42
1.0,14,-39
1.0,15,-42
1.0,16,-42
1.0,17,-41
1.0,18,-41
1.0,19,-38
1.0,20,-40
1.0,21,-41
1.0,22,-41
1.0,23,-40
1.0,24,-38
1.0,25,-39
1.0,26,-39
1.0,27,-40
1.0,28,-37
1.0,29,-39
1.0,30,-40
1.5,1,-46
1.5,2,-48
1.5,3,-47
1.5,4,-42
1.5,5,-43
1.5,6,-46
1.5,7,-44
1.5,8,-44
1.5,9,-43
1.5,10,-45
1.5,11,-44
1.5,12,-44
1.5,13,-47
1.5,14,-47
1.5,15,-49
1.5,16,-47
1.5,17,-47
1.5,18,-45
1.5,19,-45
1.5,20,-45
1.5,21,-44
1.5,22,-44
1.5,23,-44
1.5,24,-43
1.5,25,-45
1.5,26,-45
1.5,27,-44
1.5,28,-43
1.5,29,-45
1.5,30,-45
2.0,1,-51
2.0,2,-47
2.0,3,-47
2.0,4,-52
2.0,5,-49
2.0,6,-48
2.0,7,-51
2.0,8,-49
2.0,9,-48
2.0,10,-48
2.0,11,-52
2.0,12,-47
2.0,13,-48
2.0,14,-47
2.0,15,-50
2.0,16,-46
2.0,17,-54
2.0,18,-49
2.0,19,-52
2.0,20,-47
2.0,21,-49
2.0,22,-51
2.0,23,-49
2.0,24,-47
2.0,25,-51
2.0,26,-50
2.0,27,-47
2.0,28,-49
2.0,29,-52
2.0,30,-52
2.5,1,-53
2.5,2,-52
2.5,3,-48
2.5,4,-53
2.5,5,-51
2.5,6,-53
2.5,7,-50
2.5,8,-49
2.5,9,-50
2.5,10,-51
2.5,11,-50
2.5,12,-47
2.5,13,-53
2.5,14,-54
2.5,15,-50
2.5,16,-51
2.5,17,-51
2.5,18,-48
2.5,19,-48
2.5,20,-50
2.5,21,-51
2.5,22,-48
2.5,23,-49
2.5,24,-47
2.5,25,-53
2.5,26,-48
2.5,27,-52
2.5,28,-49
2.5,29,-50
2.5,30,-48
3.0,1,-57
3.0,2,-58
3.0,3,-56
3.0,4,-53
3.0,5,-54
3.0,6,-57
3.0,7,-52
3.0,8,-56
3.0,9,-54
3.0,10,-59
3.0,11,-54
3.0,12,-56
3.0,13,-53
3.0,14,-57
3.0,15,-53
3.0,16,-57
3.0,17,-57
3.0,18,-59
3.0,19,-54
3.0,20,-56
3.0,21,-53
3.0,22,-56
3.0,23,-56
3.0,24,-54
3.0,25,-59
3.0,26,-57
3.0,27,-53
3.0,28,-55
3.0,29,-52
3.0,30,-54
3.5,1,-57
3.5,2,-58
3.5,3,-58
3.5,4,-57
3.5,5,-53
3.5,6,-59
3.5,7,-55
3.5,8,-57
3.5,9,-56
3.5,10,-58
3.5,11,-57
3.5,12,-62
3.5,13,-59
3.5,14,-58
3.5,15,-57
3.5,16,-54
3.5,17,-59
3.5,18,-57
3.5,19,-56
3.5,20,-56
3.5,21,-54
3.5,22,-58
3.5,23,-57
3.5,24,-58
3.5,25,-55
3.5,26,-58
3.5,27,-61
3.5,28,-58
3.5,29,-58
3.5,30,-57
4.0,1,-56
4.0,2,-68
4.0,3,-60
4.0,4,-62
4.0,5,-57
4.0,6,-61
4.0,7,-62
4.0,8,-56
4.0,9,-59
4.0,10,-61
4.0,11,-64
4.0,12,-58
4.0,13,-61
4.0,14,-67
4.0,15,-58
4.0,16,-61
4.0,17,-57
4.0,18,-60
4.0,19,-62
4.0,20,-65
4.0,21,-61
4.0,22,-65
4.0,23,-59
4.0,24,-60
4.0,25,-60
4.0,26,-56
4.0,27,-63
4.0,28,-63
4.0,29,-63
4.0,30,-59
4.5,1,-59
4.5,2,-58
4.5,3,-54
4.5,4,-56
4.5,5,-57
4.5,6,-65
4.5,7,-61
4.5,8,-58
4.5,9,-62
4.5,10,-58
4.5,11,-62
4.5,12,-58
4.5,13,-62
4.5,14,-61
4.5,15,-58
4.5,16,-61
4.5,17,-56
4.5,18,-56
4.5,19,-61
4.5,20,-62
4.5,21,-60
4.5,22,-57
4.5,23,-63
4.5,24,-60
4.5,25,-59
4.5,26,-59
4.5,27,-53
4.5,28,-58
4.5,29,-61
4.5,30,-59
5.0,1,-60
5.0,2,-61
5.0,3,-66
5.0,4,-58
5.0,5,-70
5.0,6,-59
5.0,7,-62
5.0,8,-68
5.0,9,-60
5.0,10,-65
5.0,11,-63
5.0,12,-60
5.0,13,-65
5.0,14,-64
5.0,15,-61
5.0,16,-65
5.0,17,-58
5.0,18,-60
5.0,19,-61
5.0,20,-62
5.0,21,-58
5.0,22,-62
5.0,23,-58
5.0,24,-69
5.0,25,-64
5.0,26,-59
5.0,27,-62
5.0,28,-64
5.0,29,-67
5.0,30,-64
