distancia_m,amostra,rssi_dbm
1.0,1,-39.0
1.0,2,-37.8
1.0,3,-40.1
1.0,4,-42.6
1.0,5,-40.8
1.0,6,-43.0
1.0,7,-38.8
1.0,8,-33.6
1.0,9,-41.0
1.0,10,-41.5
1.0,11,-37.0
1.0,12,-37.6
1.0,13,-38.6
1.0,14,-42.7
1.0,15,-39.1
1.0,16,-36.2
1.0,17,-44.4
1.0,18,-40.8
1.0,19,-46.6
1.0,20,-44.2
1.0,21,-46.4
1.0,22,-39.9
1.0,23,-44.1
1.0,24,-37.9
1.0,25,-38.4
1.0,26,-39.7
1.0,27,-49.1
1.0,28,-41.2
1.0,29,-39.2
1.0,30,-38.5
1.5,1,-50.4
1.5,2,-46.2
1.5,3,-48.2
1.5,4,-47.5
1.5,5,-40.0
1.5,6,-47.5
1.5,7,-44.4
1.5,8,-40.7
1.5,9,-46.6
1.5,10,-44.7
1.5,11,-43.8
1.5,12,-44.0
1.5,13,-49.2
1.5,14,-44.0
1.5,15,-38.8
1.5,16,-50.5
1.5,17,-40.8
1.5,18,-43.8
1.5,19,-46.8
1.5,20,-36.3
1.5,21,-41.2
1.5,22,-49.1
1.5,23,-44.0
1.5,24,-42.0
1.5,25,-45.0
1.5,26,-41.6
1.5,27,-44.5
1.5,28,-41.6
1.5,29,-38.5
1.5,30,-47.0
2.0,1,-47.2
2.0,2,-49.9
2.0,3,-47.5
2.0,4,-52.8
2.0,5,-50.3
2.0,6,-48.8
2.0,7,-44.4
2.0,8,-43.5
2.0,9,-53.3
2.0,10,-51.2
2.0,11,-45.4
2.0,12,-56.0
2.0,13,-49.9
2.0,14,-48.4
2.0,15,-43.0
2.0,16,-45.3
2.0,17,-49.3
2.0,18,-49.5
2.0,19,-49.0
2.0,20,-41.9
2.0,21,-49.7
2.0,22,-49.2
2.0,23,-46.6
2.0,24,-48.5
2.0,25,-48.8
2.0,26,-52.5
2.0,27,-48.1
2.0,28,-49.8
2.0,29,-43.4
2.0,30,-45.4
2.5,1,-51.0
2.5,2,-48.3
2.5,3,-52.3
2.5,4,-46.7
2.5,5,-51.0
2.5,6,-48.6
2.5,7,-56.1
2.5,8,-49.6
2.5,9,-57.7
2.5,10,-59.1
2.5,11,-52.2
2.5,12,-54.5
2.5,13,-50.3
2.5,14,-42.0
2.5,15,-54.3
2.5,16,-53.4
2.5,17,-50.1
2.5,18,-49.0
2.5,19,-51.6
2.5,20,-51.8
2.5,21,-48.1
2.5,22,-48.9
2.5,23,-55.1
2.5,24,-51.3
2.5,25,-50.8
2.5,26,-55.2
2.5,27,-49.9
2.5,28,-54.4
2.5,29,-47.0
2.5,30,-50.2
3.0,1,-53.0
3.0,2,-55.7
3.0,3,-53.8
3.0,4,-61.3
3.0,5,-57.8
3.0,6,-51.9
3.0,7,-61.8
3.0,8,-49.9
3.0,9,-60.3
3.0,10,-50.3
3.0,11,-56.7
3.0,12,-50.2
3.0,13,-52.8
3.0,14,-59.5
3.0,15,-48.3
3.0,16,-47.5
3.0,17,-53.6
3.0,18,-54.4
3.0,19,-54.0
3.0,20,-57.2
3.0,21,-48.9
3.0,22,-55.5
3.0,23,-53.5
3.0,24,-56.5
3.0,25,-55.8
3.0,26,-58.4
3.0,27,-48.3
3.0,28,-53.9
3.0,29,-49.4
3.0,30,-53.3
3.5,1,-58.1
3.5,2,-56.6
3.5,3,-57.6
3.5,4,-55.3
3.5,5,-56.8
3.5,6,-56.5
3.5,7,-60.8
3.5,8,-58.5
3.5,9,-48.7
3.5,10,-58.0
3.5,11,-59.5
3.5,12,-54.0
3.5,13,-49.7
3.5,14,-61.1
3.5,15,-56.2
3.5,16,-57.9
3.5,17,-62.4
3.5,18,-52.4
3.5,19,-55.4
3.5,20,-55.0
3.5,21,-58.3
3.5,22,-53.5
3.5,23,-57.5
3.5,24,-55.9
3.5,25,-59.8
3.5,26,-60.2
3.5,27,-50.0
3.5,28,-57.4
3.5,29,-54.2
3.5,30,-55.5
4.0,1,-58.8
4.0,2,-59.1
4.0,3,-54.5
4.0,4,-58.3
4.0,5,-57.7
4.0,6,-57.0
4.0,7,-52.4
4.0,8,-54.3
4.0,9,-55.5
4.0,10,-59.3
4.0,11,-62.6
4.0,12,-53.3
4.0,13,-53.2
4.0,14,-57.6
4.0,15,-54.9
4.0,16,-53.9
4.0,17,-53.7
4.0,18,-53.4
4.0,19,-58.9
4.0,20,-51.0
4.0,21,-62.0
4.0,22,-53.6
4.0,23,-55.1
4.0,24,-53.6
4.0,25,-49.5
4.0,26,-51.1
4.0,27,-61.6
4.0,28,-63.8
4.0,29,-53.8
4.0,30,-61.1
4.5,1,-58.6
4.5,2,-55.2
4.5,3,-65.2
4.5,4,-67.0
4.5,5,-57.6
4.5,6,-58.4
4.5,7,-59.6
4.5,8,-58.4
4.5,9,-62.0
4.5,10,-64.7
4.5,11,-59.3
4.5,12,-62.5
4.5,13,-65.2
4.5,14,-56.6
4.5,15,-58.8
4.5,16,-57.0
4.5,17,-62.6
4.5,18,-61.2
4.5,19,-62.6
4.5,20,-62.1
4.5,21,-57.8
4.5,22,-61.7
4.5,23,-57.2
4.5,24,-57.2
4.5,25,-50.5
4.5,26,-64.2
4.5,27,-55.0
4.5,28,-59.0
4.5,29,-58.7
4.5,30,-64.4
5.0,1,-61.8
5.0,2,-57.0
5.0,3,-60.3
5.0,4,-59.6
5.0,5,-61.1
5.0,6,-55.4
5.0,7,-60.1
5.0,8,-68.8
5.0,9,-62.7
5.0,10,-67.8
5.0,11,-73.0
5.0,12,-62.1
5.0,13,-54.6
5.0,14,-59.8
5.0,15,-64.7
5.0,16,-63.7
5.0,17,-55.4
5.0,18,-59.3
5.0,19,-59.8
5.0,20,-60.2
5.0,21,-59.8
5.0,22,-56.7
5.0,23,-57.8
5.0,24,-59.1
5.0,25,-64.1
5.0,26,-57.9
5.0,27,-62.7
5.0,28,-55.6
5.0,29,-65.1
5.0,30,-60.5
